mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.033486223220825194,0.005323187812918585,0.0016024589538574218,0.0032049179077148437,2,100,"{'max_depth': 2, 'min_samples_leaf': 100}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.05018382072448731,0.007062937663129761,0.006401920318603515,0.003200960544655544,3,1,"{'max_depth': 3, 'min_samples_leaf': 1}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.03898210525512695,0.007365323242909741,0.009834003448486329,0.008070771295356419,3,5,"{'max_depth': 3, 'min_samples_leaf': 5}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.04616622924804688,0.0016772385825827264,0.0,0.0,3,10,"{'max_depth': 3, 'min_samples_leaf': 10}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.04298214912414551,0.006725574483592179,0.007889127731323243,0.006998761259562977,3,20,"{'max_depth': 3, 'min_samples_leaf': 20}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.04688043594360351,1.970982038075892e-05,0.0031280517578125,0.006256103515625,3,35,"{'max_depth': 3, 'min_samples_leaf': 35}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.04379749298095703,0.006063425467695143,0.0,0.0,3,50,"{'max_depth': 3, 'min_samples_leaf': 50}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.046942281723022464,0.009978179928933519,0.003127861022949219,0.006255722045898438,3,100,"{'max_depth': 3, 'min_samples_leaf': 100}",-777.1518891597317,-792.2375585795946,-785.3975824702298,-767.8217401069561,-778.036538469142,-780.1290617571309,8.235112414415592,120,-780.4412809209605,-776.8289629367505,-776.8382920423245,-781.7164686063654,-779.6297788805746,-779.0909566773951,1.9594964383421707
0.055825233459472656,0.0073326644733900685,0.004730987548828125,0.006273811407696389,4,1,"{'max_depth': 4, 'min_samples_leaf': 1}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.05428919792175293,0.007973808994394174,0.0074237346649169925,0.006557292755675847,4,5,"{'max_depth': 4, 'min_samples_leaf': 5}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.05045056343078613,0.006896487664093469,0.0031260013580322265,0.006252002716064453,4,10,"{'max_depth': 4, 'min_samples_leaf': 10}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.057552766799926755,0.009004029732556856,0.0031273365020751953,0.006254673004150391,4,20,"{'max_depth': 4, 'min_samples_leaf': 20}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.05163383483886719,0.006199545324234302,0.009714078903198243,0.007955064164180193,4,35,"{'max_depth': 4, 'min_samples_leaf': 35}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.05630226135253906,0.007699853754471202,0.003126096725463867,0.006252193450927733,4,50,"{'max_depth': 4, 'min_samples_leaf': 50}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.056127309799194336,0.007540298705032875,0.0,0.0,4,100,"{'max_depth': 4, 'min_samples_leaf': 100}",-682.3465150176709,-707.3641727229954,-696.3845361821611,-680.1326941915597,-687.8759728228247,-690.8207781874423,9.99359254914699,119,-690.9213769174403,-681.2191411237362,-684.9106804889519,-690.8764154611838,-687.7253686464384,-687.1305965275502,3.704814746544211
